이름,연도,나이,출장,선발,이닝,투구,유망주,연차,가중이닝,가중출장,누적이닝,가중투구,선발불펜,큰수술경험,다음연도부상,비고
정성곤,2016,20,28,9,66.1,1169,1,2,106.7,42,0,1997.1,1,0,0,
정성곤,2017,21,26,20,107.2,1940,1,3,182.47,55.6,0,3349.8,0,0,1,
정성곤,2018,22,24,0,24.1,405,1,4,132.19,56.2,0,2347.5,1,0,0,
정성곤,2019,23,52,0,53.2,922,1,5,123.67,81.8,0,2175.5,1,0,0,
서준원,2019,19,33,16,97,1771,1,1,97,33,0,1771,1,0,0,
서준원,2020,20,31,20,107.2,1850,1,2,175.1,54.1,0,3089.7,0,0,1,
이민우,2017,24,4,2,12.2,211,1,0,12.2,4,0,211,0,1,1,토미존
이민우,2018,25,30,2,37.2,759,0,0,45.74,32.8,0,906.7,1,1,1,
이민우,2019,26,32,6,61.1,1055,0,1,93.24,55,0,1691.8,1,1,0,
이민우,2020,27,22,22,106,1831,0,2,167.37,59.4,0,2949,0,1,0,
손민한,2014,39,52,1,48.1,784,0,15,90.17,71.6,1,784,1,1,0,어깨
손민한,2015,40,26,19,105,1596,0,16,168.72,76.4,1,2144.8,0,1,0,
김대현,2016,19,1,0,1.2,32,1,0,1.2,1,0,32,1,0,1,
김대현,2017,20,26,16,94,1451,1,1,94.84,26.7,0,1473.4,0,0,0,
김대현,2018,21,25,21,105,1984,1,2,171.4,43.7,0,3015.7,0,0,0,
김대현,2019,22,41,2,65.2,1045,1,3,185.7,71.5,0,3159.3,1,0,1,
김대현,2020,23,33,0,32.1,599,1,4,130.24,74.2,0,2322.5,1,1,1,
김민수,2015,23,15,1,23.1,446,1,0,23.1,15,0,446,1,1,0,어깨
김민수,2016,24,7,0,8,155,1,0,24.17,17.5,0,467.2,1,1,0,
김민수,2018,26,2,0,1,16,0,0,5,5.5,0,93.5,1,1,0,
김민수,2019,27,28,11,81.2,1307,0,1,81.9,29.4,0,1318.2,1,1,0,
김민수,2020,28,33,18,103.1,1726,0,2,160.44,53.6,0,2648.9,0,1,0,
김범수,2015,20,15,0,14.2,325,1,0,14.2,15,0,325,1,0,0,
김범수,2016,21,5,0,5.2,117,1,0,15.14,15.5,0,344.5,1,0,1,
김범수,2017,22,15,5,31,635,1,0,41.74,26,0,879.4,1,0,1,
