이름,연도,나이,출장,선발,이닝,투구,유망주,연차,가중이닝,가중출장,누적이닝,가중투구,선발불펜,큰수술경험,다음연도부상,비고
이형범,2018,24,23,4,54,871,1,1,74.37,32.8,0,1213.3,1,0,0,
이형범,2019,25,67,0,61,927,0,2,113.35,90.1,0,1781.2,1,0,1,
이형범,2020,26,27,0,25.2,444,0,3,94.9,85.4,0,1528.4,1,1,1,
김민규,2018,19,1,0,0.1,17,1,0,0.1,1,0,17,1,0,0,
김민규,2019,20,1,0,2,24,1,0,2.07,1.7,0,35.9,1,0,0,
김민규,2020,21,29,4,53.1,998,1,1,54.55,30.2,0,1023.3,1,0,0,
김윤동,2016,23,31,5,53,1046,1,1,53,31,0,1046,1,1,0,
김윤동,2017,24,65,1,80.1,1484,1,2,117.2,86.7,0,2216.2,1,1,1,
김윤동,2018,25,64,0,82.2,1479,0,3,164.77,125,0,3040.8,1,1,1,
김윤동,2019,26,11,0,11,248,0,4,108.59,88.3,0,2025.3,1,1,1,
신정락,2014,27,15,7,51.1,825,0,2,136.74,33.7,0,825,1,1,1,
신정락,2017,30,63,0,59,1048,0,5,59,63,0,1048,1,1,1,
신정락,2018,31,49,1,50.2,854,0,6,91.5,93.1,0,1587.6,1,1,1,
신정락,2019,32,44,1,44.2,816,0,7,108.84,109.8,0,1937.8,1,1,1,
신정락,2020,33,16,0,12,243,0,8,68.04,71.3,0,1241.2,1,1,1,
이승진,2018,23,34,2,41.1,759,1,1,41.1,34,0,759,1,0,0,
이승진,2019,24,17,2,19,348,1,2,47.77,40.8,0,879.3,1,0,0,
이승진,2020,25,33,5,51.1,989,0,3,84.95,61.9,0,1612.1,1,0,1,
고효준,2014,31,21,8,51,1038,0,11,51,21,1,1038,1,1,0,팔꿈치
고효준,2015,32,30,2,51,992,0,12,86.7,44.7,1,1718.6,1,1,0,
고효준,2016,33,24,6,46,924,0,13,107.2,55.5,1,2137.4,1,1,0,
고효준,2017,34,40,1,40,775,0,14,97.7,71.8,1,1917.8,1,1,1,
고효준,2018,35,43,0,32.1,669,0,15,83.1,83,1,1673.5,1,1,0,
고효준,2019,36,75,0,62.1,1083,0,16,104.57,125.1,1,1938.8,1,1,1,
고효준,2020,37,24,0,15.2,308,0,17,74.72,98,1,1400.6,1,1,0,
윤성빈,2018,19,18,10,50.2,1010,1,1,50.2,18,0,1010,0,1,1,어깨
윤성빈,2019,20,1,1,0.1,21,1,2,35.24,13.6,0,728,0,1,1,
